Payroll Number,Payroll Description,Employees on Payroll,Count of Employees Enrolled in TransitBenefits Program
836,DEPARTMENT OF FINANCE         ,"2,006","1,052"
841,DEPARTMENT OF TRANSPORTATION  ,"4,962","1,112"
846,DEPT OF PARKS & RECREATION    ,"9,268",902
850,DEPT. OF DESIGN & CONSTRUCTION,"1,276",460
858,DEPT OF INFO TECH & TELECOMM  ,"1,296",695
860,DEPT OF RECORDS & INFO SERVICE,55,28
866,CONSUMER AFFAIRS              ,365,204
868,DEPT OF CITYWIDE ADMIN SVCS   ,"2,134",936
901,DISTRICT ATTORNEY-MANHATTAN   ,"1,413",826
902,BRONX DISTRICT ATTORNEY       ,871,338
903,DISTRICT ATTORNEY KINGS COUNTY,"1,129",481
904,DISTRICT ATTORNEY QNS COUNTY  ,639,132
905,DISTRICT ATTORNEY RICHMOND COU,110,9
906,DISTRICT ATTORNEY-SPECIAL NARC,205,95
941,PUBLIC ADMINISTRATOR-NEW YORK ,10,1
942,PUBLIC ADMINISTRATOR-BRONX    ,8,2
943,PUBLIC ADMINISTRATOR-KINGS    ,10,3
944,PUBLIC ADMINISTRATOR-QUEENS   ,8,0
945,PUBLIC ADMINISTRATOR-RICHMOND ,5,0
996,NYC HOUSING AUTHORITY         ,"11,630","2,780"
,,"378,382","54,841"
